n,Tiempo ejecución
150,592
300,150
450,53
600,1663
750,529
900,1527
1050,4760
1200,1751
1350,4891
1500,1165
1650,8278
1800,7195
1950,2970
2100,3838
2250,24399
2400,13888
2550,2747
2700,698
2850,3561
3000,1538
3150,2122
3300,80858
3450,4422
3600,14005
3750,27379
3900,17196
4050,9857
4200,7042
4350,4354
4500,5163
4650,813
4800,6513
4950,38702
5100,37255
5250,11319
5400,9721
5550,8663
5700,19781
5850,51237
6000,11679
6150,9965
6300,10046
6450,1587
6600,16935
6750,4166
6900,419
7050,33340
7200,23032
7350,58367
7500,21255
7650,16076
7800,23334
7950,26321
8100,28167
8250,8072
8400,31770
8550,61103
8700,3608
8850,9653
9000,22217
9150,27757
9300,2417
9450,18524
9600,14934
9750,15963
9900,9599
10050,15740
10200,18189
10350,20395
10500,16529
10650,45326
10800,53685
10950,23158
11100,20567
11250,54705
11400,28389
11550,6873
11700,83876
11850,4836
12000,10637
12150,49148
12300,3904
12450,43144
12600,36905
12750,67093
12900,12463
13050,79429
13200,21327
13350,27024
13500,1821
13650,8217
13800,96495
13950,2674
14100,41735
14250,22269
14400,4753
14550,113841
14700,27882
14850,18479
15000,5606
