n,Tiempo ejecucion
150,12
300,14
450,18
600,29
750,52
900,45
1050,45
1200,56
1350,47
1500,50
1650,65
1800,60
1950,65
2100,66
2250,74
2400,79
2550,85
2700,88
2850,94
3000,98
3150,103
3300,152
3450,126
3600,116
3750,120
3900,127
4050,136
4200,141
4350,139
4500,143
4650,146
4800,152
4950,164
5100,161
5250,175
5400,170
5550,184
5700,181
5850,184
6000,190
6150,185
6300,185
6450,189
6600,193
6750,197
6900,201
7050,207
7200,211
7350,215
7500,220
7650,223
7800,228
7950,233
8100,241
8250,248
8400,246
8550,251
8700,254
8850,260
9000,267
9150,268
9300,272
9450,276
9600,280
9750,290
9900,289
10050,293
10200,297
10350,301
10500,307
10650,311
10800,315
10950,320
11100,324
11250,328
11400,334
11550,337
11700,341
11850,346
12000,351
12150,356
12300,359
12450,362
12600,367
12750,372
12900,376
13050,387
13200,389
13350,389
13500,393
13650,398
13800,407
13950,406
14100,413
14250,415
14400,424
14550,423
14700,428
14850,432
15000,436
