n:150,k:0,time:14
n:300,k:0,time:63
n:450,k:0,time:46
n:600,k:0,time:77
n:750,k:0,time:125
n:900,k:0,time:129
n:1050,k:0,time:53
n:1200,k:0,time:251
n:1350,k:0,time:128
n:1500,k:0,time:394
n:1650,k:0,time:43
n:1800,k:0,time:235
n:1950,k:0,time:243
n:2100,k:0,time:329
n:2250,k:0,time:331
n:2400,k:0,time:385
n:2550,k:0,time:399
n:2700,k:0,time:495
n:2850,k:0,time:434
n:3000,k:0,time:329
n:3150,k:0,time:552
n:3300,k:0,time:281
n:3450,k:0,time:495
n:3600,k:0,time:326
n:3750,k:0,time:820
n:3900,k:0,time:529
n:4050,k:0,time:223
n:4200,k:0,time:821
n:4350,k:0,time:638
n:4500,k:0,time:793
n:4650,k:0,time:964
n:4800,k:0,time:487
n:4950,k:0,time:487
n:5100,k:0,time:580
n:5250,k:0,time:823
n:5400,k:0,time:1075
n:5550,k:0,time:981
n:5700,k:0,time:866
n:5850,k:0,time:759
n:6000,k:0,time:1058
n:6150,k:0,time:833
n:6300,k:0,time:912
n:6450,k:0,time:1037
n:6600,k:0,time:1185
n:6750,k:0,time:975
n:6900,k:0,time:786
n:7050,k:0,time:881
n:7200,k:0,time:1125
n:7350,k:0,time:833
n:7500,k:0,time:1270
n:7650,k:0,time:337
n:7800,k:0,time:1244
n:7950,k:0,time:622
n:8100,k:0,time:975
n:8250,k:0,time:1217
n:8400,k:0,time:1164
n:8550,k:0,time:1917
n:8700,k:0,time:1512
n:8850,k:0,time:1879
n:9000,k:0,time:2171
n:9150,k:0,time:1445
n:9300,k:0,time:1920
n:9450,k:0,time:1484
n:9600,k:0,time:1223
n:9750,k:0,time:2287
n:9900,k:0,time:1778
n:10050,k:0,time:816
n:10200,k:0,time:3939
n:10350,k:0,time:2299
n:10500,k:0,time:1313
n:10650,k:0,time:2021
n:10800,k:0,time:1801
n:10950,k:0,time:1206
n:11100,k:0,time:520
n:11250,k:0,time:1895
n:11400,k:0,time:1943
n:11550,k:0,time:1173
n:11700,k:0,time:1537
n:11850,k:0,time:1323
n:12000,k:0,time:2383
n:12150,k:0,time:2783
n:12300,k:0,time:966
n:12450,k:0,time:2108
n:12600,k:0,time:2192
n:12750,k:0,time:997
n:12900,k:0,time:3463
n:13050,k:0,time:2574
n:13200,k:0,time:2628
n:13350,k:0,time:2015
n:13500,k:0,time:787
n:13650,k:0,time:2564
n:13800,k:0,time:1696
n:13950,k:0,time:755
n:14100,k:0,time:2400
n:14250,k:0,time:2215
n:14400,k:0,time:3549
n:14550,k:0,time:2654
n:14700,k:0,time:2297
n:14850,k:0,time:900
n:15000,k:0,time:2411
