Corrida,Clocks,Tiempo
0,101009,0.101009
1,209778,0.209778
2,313061,0.313061
3,419665,0.419665
4,542994,0.542994
5,630223,0.630223
6,748245,0.748245
7,875505,0.875505
8,935981,0.935981
9,1100947,1.10095
10,1159046,1.15905
11,1284814,1.28481
12,1381041,1.38104
13,1453149,1.45315
14,1600080,1.60008
15,1738793,1.73879
16,1831936,1.83194
17,1888450,1.88845
18,1982161,1.98216
19,2120857,2.12086
20,2259635,2.25963
21,2365207,2.36521
22,2443604,2.4436
23,2558006,2.55801
24,2649226,2.64923
25,2714194,2.71419
26,2925646,2.92565
27,2891933,2.89193
28,2975269,2.97527
29,3173980,3.17398
30,3233165,3.23317
31,3446972,3.44697
32,3515228,3.51523
33,3629019,3.62902
34,3701013,3.70101
35,3601552,3.60155
36,3919159,3.91916
37,3898240,3.89824
38,4126494,4.12649
39,4228229,4.22823
40,4368365,4.36836
41,4356210,4.35621
42,4439200,4.4392
43,4684748,4.68475
44,4660080,4.66008
45,4803289,4.80329
46,4709026,4.70903
47,5163516,5.16352
48,5057665,5.05767
49,5319303,5.3193
50,5236010,5.23601
51,5510381,5.51038
52,5508220,5.50822
53,5593328,5.59333
54,5959037,5.95904
55,5790424,5.79042
56,5946841,5.94684
57,6046442,6.04644
58,6256037,6.25604
59,6375746,6.37575
60,6402596,6.4026
61,6489151,6.48915
62,6572966,6.57297
63,6842419,6.84242
64,6636894,6.63689
65,6968700,6.9687
66,7024116,7.02412
67,7152136,7.15214
68,7185062,7.18506
69,7241352,7.24135
70,7268429,7.26843
71,7490522,7.49052
72,7578445,7.57845
73,7641204,7.6412
74,7852759,7.85276
75,7638036,7.63804
76,7687180,7.68718
77,8141150,8.14115
78,8315876,8.31588
79,8148641,8.14864
80,8427322,8.42732
81,8597352,8.59735
82,9043089,9.04309
83,8553600,8.5536
84,8570820,8.57082
85,8554243,8.55424
86,9126893,9.12689
87,9053772,9.05377
88,9200671,9.20067
89,9215343,9.21534
90,9549195,9.54919
91,9713054,9.71305
92,9240695,9.2407
93,9728762,9.72876
94,9897087,9.89709
95,9402258,9.40226
96,9916527,9.91653
97,10037386,10.0374
98,10185123,10.1851
99,10020659,10.0207
